station,name,lat,lon,start,ending
1472,Kópavogur Fossvogsdalur,64.1163482666,-21.8616695404,2021,
1473,Straumsvík,64.043800354,-22.0404491425,2001,
1474,Garðabær Urriðaholt,64.0711669922,-21.9106674194,2019,
1475,Reykjavík - Bústaðavegur,64.1275482178,-21.9020004272,1993,
1477,Reykjavíkurflugvöllur,64.1284484863,-21.940700531,2001,
1478,Reykjavík Geirsnef,64.1281814575,-21.8409004211,2019,
1479,Reykjavík Korpa,64.1505279541,-21.7510509491,1994,
1480,Reykjavík Geldinganes,64.1677780151,-21.8038005829,2004,2026.0
1481,Hólmsheiði,64.1084976196,-21.6863708496,2006,
1482,Reykjavík Víðidalur,64.1034698486,-21.7972507477,2018,
1483,Miðdalsheiði,64.1044464111,-21.5447998047,2001,2011.0
1485,Bláfjöll úrkomustöð,63.9799804688,-21.6556301117,1997,
1486,Bláfjöll,63.96900177,-21.6660995483,1997,
1487,Bláfjallaskáli,63.9831008911,-21.6496505737,2001,
1490,Hellisskarð,64.0333328247,-21.3665294647,2001,
1493,Ölkelduháls,64.0552825928,-21.2531700134,2001,
1494,Kolviðarhóll I,64.0359725952,-21.4004707336,2003,2004.0
1495,Kolviðarhóll II,64.0390014648,-21.3992195129,2003,2004.0
1496,Skarðsmýrarfjall,64.056678772,-21.3469295502,2006,
1570,Akranes,64.3170013428,-22.0830001831,1997,2007.0
1573,Hafnarfjörður,64.0670013428,-21.9829998016,1998,1998.0
1574,Reykjavíkurhöfn,64.1500015259,-21.9330005646,1998,1998.0
1575,Eyjargrandi í Reykjavík,64.1669998169,-21.9330005646,1998,1998.0
1576,Sundahöfn í Reykjavík,64.1500015259,-21.8670005798,1998,1998.0
1578,Skrauthólar,64.2318191528,-21.8046302795,2001,
1579,Mosfellsbær Blikastaðanes,64.1669235229,-21.7436904907,2025,
1590,Skálafell,64.2404785156,-21.463300705,1995,
1596,Þingvellir,64.2807006836,-21.0875301361,1996,
1672,Ás í Melasveit,64.3960723877,-22.008020401,2001,2006.0
1673,Hafnarmelar,64.4647293091,-21.962770462,1998,2022.0
1678,Grundartangi,64.3499984741,-21.783000946,1995,2009.0
1679,Skarðsheiði Miðfitjahóll,64.4901809692,-21.7621307373,2009,
1685,Þyrill,64.3877334595,-21.4168796539,2003,
1689,Botnsheiði,64.4529495239,-21.4034194946,2001,2024.0
1777,Hvanneyri,64.5615997314,-21.7745990753,2022,
1779,Hvanneyri skóli,64.5622024536,-21.7649307251,1997,2025.0
1781,Stafholtsey,64.6430206299,-21.5893001556,2018,
1868,Fíflholt á Mýrum,64.6943206787,-22.1473293304,2006,
1881,Litla-Skarð,64.7267990112,-21.6296806335,2000,2022.0
1919,Gufuskálar,64.9041366577,-23.931640625,1994,
1924,Ólafsvík,64.8956756592,-23.7162399292,2000,
1925,Ólafsvíkurhöfn,64.9000015259,-23.716999054,1998,2008.0
1936,Bláfeldur,64.8393325806,-23.301700592,2003,
1938,Grundarfjörður,64.9213027954,-23.2512702942,2003,
2050,Stykkishólmur,65.0717010498,-22.7323703766,2002,
2175,Ásgarður,65.2296981812,-21.7542705536,2003,
2197,Reykir í Hrútafirði,65.2542800903,-21.0977802277,2003,
2266,Reykhólar,65.4376525879,-22.205619812,2004,
2304,Bjargtangar,65.5028991699,-24.5311698914,1994,
2315,Lambavatn,65.4923782349,-24.0925197601,2006,
2318,Patrekshöfn,65.5999984741,-24.0,1995,2007.0
2319,Patreksfjörður,65.5950698853,-23.9748306274,1996,
2320,Patreksfjörður - Brellur,65.6047515869,-23.9903202057,2014,
2323,Tálknafjörður,65.6276016235,-23.8302307129,2008,
2370,Arnkatla,65.5528488159,-21.8257198334,2013,2022.0
2390,Ennishöfði,65.5781784058,-21.3221302032,2015,2022.0
2428,Bíldudalur,65.6794204712,-23.6121692657,1998,
2443,Dynjandiheiði I,65.6999969482,-23.0830001831,1993,1997.0
2453,Þingmannaheiði I,65.6500015259,-22.7999992371,1994,1995.0
2454,Þingmannaheiði,65.6569671631,-23.0028495789,2000,2004.0
2480,Bjarnarfjarðarháls,65.7283935547,-21.5717506409,2013,2024.0
2481,Hólmavík,65.6873168945,-21.6812992096,2007,
2525,Þingeyrarflugvöllur,65.8700027466,-23.5482997894,2006,2006.0
2530,Hólar í Dýrafirði,65.8686141968,-23.5577793121,2020,
2630,Suðureyri,66.1250762939,-23.5077362061,2021,
2631,Flateyri,66.0498580933,-23.5100593567,1997,
2636,Þverfjall,66.0444335938,-23.3074493408,1990,
2640,Seljalandsdalur,66.0759506226,-23.1986694336,1995,
2641,Seljalandsdalur - skíðaskáli,66.0666885376,-23.2141990662,2005,
2642,Ísafjörður - vindur,66.0596313477,-23.1699295044,1998,
2643,Hnífsdalur,66.1065979004,-23.1091003418,2018,2022.0
2644,Ísafjörður - Tungudalur,66.0600280762,-23.1847496033,2023,
