variable,period,outcome,coarse_bin,bin_order,observed_accidents,expected_accidents,relative_accident_frequency,bootstrap_ci_95_low,bootstrap_ci_95_high,analysed_accidents,sparse_bin,bootstrap_stations,bootstrap_reps
fg,Summer,Serious/fatal subset (meiðsli ≤ 2),15-20,3,27,28.975773308721045,0.9318129222067602,0.5778193479343637,1.3207745707461176,626,False,194,5000
fg,Summer,Serious/fatal subset (meiðsli ≤ 2),20-25,4,16,7.650021998788798,2.0914972535416534,0.9845764811965756,3.4130792693242435,626,True,194,5000
fg,Summer,Serious/fatal subset (meiðsli ≤ 2),25-30,5,3,1.9126026141506611,1.568543291640446,0.0,3.6404629425378134,626,True,194,5000
fg,Summer,Serious/fatal subset (meiðsli ≤ 2),30-35,6,1,0.4646243251969702,2.1522764645954893,0.0,8.17825828745353,626,True,194,5000
fg,Summer,Serious/fatal subset (meiðsli ≤ 2),>=35,7,4,0.1656854036605946,24.142138725714013,0.0,70.67410455940272,626,True,194,5000
fg,Winter,All injury accidents (meiðsli ≤ 3),0-5,0,593,599.2027658586263,0.9896483023576532,0.9182389398437224,1.060528695936276,2033,False,209,5000
fg,Winter,All injury accidents (meiðsli ≤ 3),5-10,1,559,608.9277977838696,0.9180070314320078,0.8477637101468387,0.9950904200947122,2033,False,209,5000
fg,Winter,All injury accidents (meiðsli ≤ 3),10-15,2,437,453.5319054251787,0.9635485282789966,0.8766284898982082,1.0602023139778582,2033,False,209,5000
fg,Winter,All injury accidents (meiðsli ≤ 3),15-20,3,272,237.0792060415909,1.147295895500354,1.0076383932365187,1.2822193824203252,2033,False,209,5000
fg,Winter,All injury accidents (meiðsli ≤ 3),20-25,4,108,91.80451094072367,1.1764127807372498,0.9520612671196528,1.4075376776569424,2033,False,209,5000
fg,Winter,All injury accidents (meiðsli ≤ 3),25-30,5,41,30.09758366983875,1.362235601693392,0.8985666973474499,1.8192839374010856,2033,False,209,5000
fg,Winter,All injury accidents (meiðsli ≤ 3),30-35,6,15,8.840515086092251,1.6967337144865853,0.9522103653500952,2.569373913645568,2033,True,209,5000
fg,Winter,All injury accidents (meiðsli ≤ 3),>=35,7,8,3.515715194079884,2.275497177209123,0.8264062631013686,4.0283237785285015,2033,True,209,5000
fg,Winter,Serious/fatal subset (meiðsli ≤ 2),0-5,0,109,113.47798060326112,0.9605387707865818,0.8037593204244021,1.1167287336360867,372,False,136,5000
fg,Winter,Serious/fatal subset (meiðsli ≤ 2),5-10,1,120,112.71718096557866,1.0646114369791182,0.911752702485288,1.2140312950955985,372,False,136,5000
fg,Winter,Serious/fatal subset (meiðsli ≤ 2),10-15,2,73,80.82213088350785,0.9032179577796308,0.7298696894889442,1.089501860219565,372,False,136,5000
fg,Winter,Serious/fatal subset (meiðsli ≤ 2),15-20,3,42,41.38010750348812,1.014980446739043,0.7273359316810397,1.338167428735402,372,False,136,5000
fg,Winter,Serious/fatal subset (meiðsli ≤ 2),20-25,4,14,15.984223632663523,0.8758636216394775,0.4570539133223886,1.363202347173764,372,True,136,5000
fg,Winter,Serious/fatal subset (meiðsli ≤ 2),25-30,5,12,5.328833279928194,2.2519000632276676,0.9295768923084872,3.6880530887865017,372,True,136,5000
fg,Winter,Serious/fatal subset (meiðsli ≤ 2),30-35,6,2,1.60876315162244,1.243191080043695,0.0,3.319927472173205,372,True,136,5000
fg,Winter,Serious/fatal subset (meiðsli ≤ 2),>=35,7,0,0.6807799799500426,0.0,0.0,0.0,372,True,136,5000
temperature,All year,All injury accidents (meiðsli ≤ 3),<-6,0,205,255.9992544061268,0.8007835822630183,0.6901415859237124,0.9174381072698404,5707,False,252,5000
